ascore,category,description,ein,tot_exp,admin_exp_p,fund_eff,fund_exp_p,program_exp_p,fscore,leader,leader_comp,leader_comp_p,motto,name,tot_rev,state,subcategory,size,program_exp,fund_exp,admin_exp,predicted_score
97,Human Services,"Feeding America is the nationwide network of 200 food banks that leads the fight against hunger in the United States. Together, we provide food to more than 46 million people through 60,000 food pantries and meal programs in communities across America. Feeding America also supports programs that improve food security among the people we serve; educates the public about the problem of hunger; and advocates for legislation that protects people from going hungry. Individuals, charities, businesses and government all have a role in ending hunger. Donate. Volunteer. Advocate. Educate. Together we can solve hunger.",36-3673599,2826138224,0.003,0.01,0.009,0.986,92.5,Diana Aviv,806288.0,0.0002,Connecting people with food and ending hunger through a nationwide network of food banks,Feeding America,2827633478,IL,Multipurpose Human Service Organizations,big,2786572289.0,25435244.02,8478414.672,94.29024789258229
85,Religion,Feed the Hunger is a Christian mission organization founded over 50 years ago. Our goal is simple: feed the spiritual and physical hunger in the needy. We do this most often through the distribution of God's Word and our nutritious meal packets. We are focused on meeting these two most basic hungers among three primary target groups:,56-0953324,1652817,0.078,0.06,0.064,0.856,84.38,Joseph Williams,60937.0,0.0368,Feed the Hunger - It's More Than a Meal,Feed the Hunger,1756065,NC,Religious Activities,small,1414811.352,105780.288,128919.726,84.66146282325275
97,International,"Established in 1979, Feed the Children exists to end child hunger. It is one of the largest U.S.-based charities and serves those in need in the U.S. and in 10 countries around the world. It provides food, education, essentials and disaster relief. Domestically, it operates 5 distribution centers (located in Oklahoma, Indiana, California, Tennessee and Pennsylvania).",73-6108657,426200732,0.025,0.04,0.043,0.931,92.68,JC Watts Jr.,502805.0,0.0011,Create a world where no child goes to bed hungry.,Feed the Children,409829103,OK,Humanitarian Relief Supplies,big,396792881.5,18326631.48,10655018.3,94.3762046022292
100,International,Feed My Starving Children (FMSC) is a Christian nonprofit dedicated to providing nutritious meals to children worldwide. FMSC meals are hand-packed by volunteers and sent to an incredible network of partner organizations who distribute them to those in need. More than 1.2 million volunteers packed more than 333 million FMSC meals in 2017. More than 90 percent of total donations go directly to feed kids.,41-1601449,39826949,0.067,0.07,0.074,0.857,88.47,Mark Crea,229365.0,0.0057,Turn Hunger into Hope with Your Own Two Hands,Feed My Starving Children,41985008,MN,Development and Relief Services,big,34131695.29,2947194.226,2668405.583,91.79941719723296
100,Human Services,"Feed My People was founded in October 1982, by John and Carol DeGuire. It was begun to meet the growing needs of the poor in South Saint Louis County, Missouri. Today we have over 20 programs, with a Thrift Store at each facility as primarily a service to our clients, but open to the public as well. The proceeds help fund our programs. Our main mission is emergency and long-term food help. We treat each person who comes to us for help with dignity. Besides their daily needs, we try to give them hope for a brighter future, and let them know that we care and that God cares.",43-1264877,5751235,0.053,0.01,0.014,0.932,95.0,Robert Wessels,89606.0,0.0155,A Christian interdenominational help center showing God's love & compassion for his people in need.,Feed My People,5662565,MO,"Food Banks, Food Pantries, and Food Distribution",mid,5360151.02,80517.29,304815.455,96.4436929876441
89,International,"Feed My Hungry Children (FMHC) helps stand in the gap to provide the things that needy, hurting people may need to survive and become self-sufficient. FMHC's humanitarian projects are committed to helping children and their families around the world. Our relief efforts are focused on: providing education, clothing, food, and medical help to school age children; providing health and nutritional training for families and parents of deprived children; helping communities through micro-enterprise and sustainable gardening projects; providing nutritious food to school children; engaging in community development projects to help impoverished families work toward self-sufficiency; and providing education, food, nutritional training, clothing, medical help, and other necessities of life to those in need, including impoverished children and their families.",81-0455105,4100696,0.009,0.01,0.001,0.989,95.0,Lon Taylor,0.0,0.0,Healing children hurt around the world,Feed My Hungry Children,4109455,AZ,Humanitarian Relief Supplies,mid,4055588.344,4100.696,36906.264,91.46791631426107
92,Community Development,"The organization provides humanitarian aid locally, in Israel and overseas. Our funding provides rescue, relief and rehabilitation regardless of age, ethnicity or religion. We perform these programs and services within Jewish tradition and culture.",06-0646691,1014890,0.087,0.12,0.09,0.821,81.67,Jade Stoltz,109000.0,0.1074,Communities is our middle name,"The Federation, Jewish Communities of Western Connecticut",2740191,CT,Jewish Federations,small,833224.69,91340.1,88295.43,85.89948597301755
96,Human Services,"The Federation of Protestant Welfare Agencies (FPWA) is a membership organization with almost 300 community-based social service agencies and church-based human service programs in its network. FPWA builds the capacity of its members through management and technical assistance; training and workshops; policy and advocacy services; and through a variety of grant programs, including camp scholarships, a holiday toy drive, and individual grants for emergency needs through its participation in the New York Times Neediest Cases fund.",13-5562220,7188669,0.186,0.26,0.098,0.714,82.34,Jennifer Jones Austin,262500.0,0.0365,Helping New Yorkers in need since 1922,Federation of Protestant Welfare Agencies,4699763,NY,Social Services,mid,5132709.666,704489.562,1337092.434,87.18882302642788
81,Health,"The Federation of Clinical Immunology Societies (FOCIS) exists to improve human health through immunology by fostering interdisciplinary approaches to both understand and treat immune-based diseases. Initially established as a cross-disciplinary meeting, FOCIS held its first Annual Meeting in 2001. After two successful consecutive meetings, FOCIS incorporated in 2003 as a 501(c)3 organization. Now in its twelfth year of existence, FOCIS has 53 Member Societies, representing roughly 65,000 clinician scientists. A Federation of this size provides a voice for clinical immunologists and ultimately strives to improve patient care.",76-0715404,1667114,0.131,0.04,0.028,0.839,83.06,This organization did not report a CEO,,,Improving human health through immunology,Federation of Clinical Immunology Societies,1653139,WI,Treatment and Prevention Services,small,1398708.646,46679.192,218391.934,81.95759716402351
96,International,"The Federation of American Scientists promotes a safer and more secure world by developing and advancing solutions to important science and technology security policy problems by educating the public and policy makers, and promoting transparency, through research and analysis to maximize impact on policy.",23-7185827,1441697,0.19,0.05,0.041,0.768,86.86,Charles D. Ferguson II,149733.0,0.1038,Educating the public and policymakers on global security challenges at the intersection of science and technology.,Federation of American Scientists,1486251,DC,"International Peace, Security, and Affairs",small,1107223.296,59109.577,273922.43,90.29739149112608
